Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
PI Pocock (ENG),1985-1985,1,1,60,20,0,-,-,2.00,-,0,0,
KH Prajapati (OMA),2021-2023,31,1,2,1,0,-,-,3.00,-,0,0,
AG Prince (Afr/SA),2002-2007,52,1,12,3,0,-,-,1.50,-,0,0,
DJ Pringle (EAf),1975-1975,2,2,90,55,0,-,-,3.66,-,0,0,
Y Punja (UAE),2015-2015,1,1,36,49,0,-,-,8.16,-,0,0,
M Pushpakumara (SL),2009-2010,3,1,30,21,0,-,-,4.20,-,0,0,
Raees Ahmadzai (AFG),2009-2010,5,1,24,16,0,-,-,4.00,-,0,0,
LS Rajput (IND),1985-1987,4,2,42,42,0,-,-,6.00,-,0,0,
Rameez Shahzad (UAE),2016-2023,26,2,30,33,0,-,-,6.60,-,0,0,
Ramiz Raja (PAK),1985-1997,198,1,6,10,0,-,-,10.00,-,0,0,
N Rana (IND),2021-2021,1,1,18,10,0,-,-,3.33,-,0,0,
Raqibul Hasan (BAN),1986-1986,2,1,1,4,0,-,-,24.00,-,0,0,
Rashid Zia (USA),2004-2004,2,2,59,69,0,-,-,7.01,-,0,0,
JN Rhodes (SA),1992-2003,245,2,14,4,0,-,-,1.71,-,0,0,
EB Ringera (KENYA),2011-2011,1,1,60,28,0,-,-,2.80,-,0,0,
Rizwan Ahmed (PAK),2008-2008,1,1,24,26,0,-,-,6.50,-,0,0,
SJ Roberts (NZ),1990-1990,2,2,42,47,0,-,-,6.71,-,0,0,
JA Rudolph (Afr/SA),2003-2006,45,1,24,26,0,-,-,6.50,-,0,0,
Saad Nasim (PAK),2015-2015,3,2,36,46,0,-,-,7.66,-,0,0,
Saeed-al-Saffar (UAE),1996-1996,1,1,18,25,0,-,-,8.33,-,0,0,
Saleem Elahi (PAK),1995-2004,48,1,6,10,0,-,-,10.00,-,0,0,
Salman Butt (PAK),2004-2010,78,6,69,90,0,-,-,7.82,-,0,0,
Salman Farooq (UAE),2014-2014,1,1,36,23,0,-,-,3.83,-,0,0,
MAR Samarasekera (SL),1983-1994,39,11,338,291,0,-,-,5.16,-,0,0,
Samiullah Khan (PAK),2008-2008,2,2,120,115,0,-,-,5.75,-,0,0,
Samiur Rahman (BAN),1986-1986,2,2,60,30,0,-,-,3.00,-,0,0,
Sami Faridi (CAN),2008-2008,3,3,60,63,0,-,-,6.30,-,0,0,
Sandeep Goud (OMA),2019-2023,36,7,96,89,0,-,-,5.56,-,0,0,
Sarfaraz Ahmed (PAK),2007-2021,117,1,12,15,0,-,-,7.50,-,0,0,
GR Sealy (CAN),1979-1979,3,1,36,21,0,-,-,3.50,-,0,0,
H Shah (NEP),2022-2022,3,3,60,55,0,-,-,5.50,-,0,0,
RD Shah (KENYA),1998-2007,56,4,60,72,0,-,-,7.20,-,0,0,
Shahidullah (AFG),2022-2023,3,1,18,16,0,-,-,5.33,-,0,0,
Shamim Hossain (BAN),2023-2023,4,2,12,18,0,-,-,9.00,-,0,0,
A Shamshudeen (CAN),2007-2007,1,1,18,24,0,-,-,8.00,-,0,0,
Shamsur Rahman (BAN),2013-2014,10,1,6,13,0,-,-,13.00,-,0,0,
Shariful Haque (BAN),1998-1998,1,1,18,21,0,-,-,7.00,-,0,0,
B Sharki (NEP),2022-2023,18,1,6,8,0,-,-,8.00,-,0,0,
KV Sharma (IND),2014-2014,2,2,114,125,0,-,-,6.57,-,0,0,
S Shivnarine (WI),1978-1978,1,1,18,16,0,-,-,5.33,-,0,0,
Shoaib Khan (OMA),2021-2023,24,3,48,41,0,-,-,5.12,-,0,0,
DJM Short (AUS),2018-2020,8,5,90,114,0,-,-,7.60,-,0,0,
MW Short (AUS),2023-2023,2,2,60,54,0,-,-,5.40,-,0,0,
M Shumba (ZIM),2021-2022,6,2,41,42,0,-,-,6.14,-,0,0,
Shuvagata Hom (BAN),2011-2011,4,1,12,9,0,-,-,4.50,-,0,0,
NS Sidhu (IND),1987-1998,136,2,4,3,0,-,-,4.50,-,0,0,
EHSN Silva (UAE),2008-2008,1,1,42,33,0,-,-,4.71,-,0,0,
KJ Silva (SL),1995-1995,1,1,48,55,0,-,-,6.87,-,0,0,
RW Sims (ZIM),2002-2003,3,3,132,127,0,-,-,5.77,-,0,0,
VRV Singh (IND),2006-2006,2,2,72,105,0,-,-,8.75,-,0,0,
Skhawat Ali (HKG),2008-2014,4,1,48,68,0,-,-,8.50,-,0,0,
MJ Slater (AUS),1993-1997,42,2,12,11,0,-,-,5.50,-,0,0,
DS Smith (WI),2003-2013,47,2,17,17,0,-,-,6.00,-,0,0,
M Smith (BER),2008-2008,1,1,12,14,0,-,-,7.00,-,0,0,
SB Smith (AUS),1983-1985,28,2,7,5,0,-,-,4.28,-,0,0,
Sohail Fazal (PAK),1989-1989,2,1,6,4,0,-,-,4.00,-,0,0,
CM Spearman (NZ),1995-2001,51,1,3,6,0,-,-,12.00,-,0,0,
IM Stanger (SCOT),1999-2006,5,2,54,56,0,-,-,6.22,-,0,0,
MP Stead (CAN),1979-1979,2,2,29,24,0,-,-,4.96,-,0,0,
DS Steele (ENG),1976-1976,1,1,6,9,0,-,-,9.00,-,0,0,
BDH Stevens (JER),2023-2023,1,1,18,28,0,-,-,9.33,-,0,0,
AJ Strauss (ENG),2003-2011,127,1,6,3,0,-,-,3.00,-,0,0,
Sufyan Mehmood (OMA),2021-2021,1,1,8,8,0,-,-,6.00,-,0,0,
V Sukumaran (UAE),2022-2022,2,1,12,4,0,-,-,2.00,-,0,0,
Sultan Ahmed (UAE),2019-2019,2,2,72,58,0,-,-,4.83,-,0,0,
Tamim Iqbal (BAN),2007-2023,243,2,6,13,0,-,-,13.00,-,0,0,
Tanbir Hayder (BAN),2016-2016,2,2,60,67,0,-,-,6.70,-,0,0,
CJ Tavare (ENG),1980-1984,29,1,12,3,0,-,-,1.50,-,0,0,
JP Taylor (ENG),1993-1993,1,1,18,20,0,-,-,6.66,-,0,0,
LB Taylor (ENG),1986-1986,2,2,84,47,0,-,-,3.35,-,0,0,
LRPL Taylor (NZ),2006-2022,236,4,42,35,0,-,-,5.00,-,0,0,
EP Thompson (NZ),2009-2009,1,1,24,42,0,-,-,10.50,-,0,0,
LO Tikolo (KENYA),1996-1996,3,3,48,55,0,-,-,6.87,-,0,0,
NT Tilak Varma (IND),2023-2023,1,1,24,21,0,-,-,5.25,-,0,0,
AM Tribe (JER),2023-2023,5,3,24,30,0,-,-,7.50,-,0,0,
GS Trimble (AUS),1986-1986,2,1,24,32,0,-,-,8.00,-,0,0,
GM Turner (NZ),1973-1983,41,1,6,0,0,-,-,0.00,-,0,0,
Umar Amin (PAK),2010-2018,16,3,42,24,0,-,-,3.42,-,0,0,
TP Ura (PNG),2014-2023,61,1,6,12,0,-,-,12.00,-,0,0,
Usman Mushtaq (UAE),2015-2015,1,1,12,9,0,-,-,4.50,-,0,0,
Usman Rafiq (USA),2023-2023,2,2,32,47,0,-,-,8.81,-,0,0,
RV Uthappa (IND),2006-2015,46,1,2,0,0,-,-,0.00,-,0,0,
CJPG van Zyl (SA),1992-1992,2,2,108,93,0,-,-,5.16,-,0,0,
JCB Vaughan (CAN),1979-1979,3,2,66,36,0,-,-,3.27,-,0,0,
DB Vengsarkar (IND),1976-1991,129,1,6,4,0,-,-,4.00,-,0,0,
KDK Vithanage (SL),2013-2014,6,2,12,17,0,-,-,8.50,-,0,0,
Wahidul Gani (BAN),1988-1988,1,1,36,32,0,-,-,5.33,-,0,0,
Waqas Barkat (HKG),2014-2018,10,4,90,75,0,-,-,5.00,-,0,0,
DA Warner (AUS),2009-2023,152,1,6,8,0,-,-,8.00,-,0,0,
Wasim Ali (OMA),2022-2022,1,1,9,13,0,-,-,8.66,-,0,0,
SR Waters (KENYA),2008-2011,20,1,18,14,0,-,-,4.66,-,0,0,
M Watkinson (ENG),1996-1996,1,1,54,43,0,-,-,4.77,-,0,0,
AP Weerakkody (SL),1994-1994,1,1,36,41,0,-,-,6.83,-,0,0,
SR Welsh (CAN),2006-2008,3,3,120,147,0,-,-,7.35,-,0,0,
JM Wiener (AUS),1979-1980,7,2,24,34,0,-,-,8.50,-,0,0,
CB Wishart (ZIM),1996-2005,90,1,12,12,0,-,-,6.00,-,0,0,
WA Wisneski (NZ),2000-2000,3,3,114,123,0,-,-,6.47,-,0,0,
L Wood (ENG),2022-2023,2,1,60,59,0,-,-,5.90,-,0,0,
GH Worker (NZ),2015-2018,10,1,6,5,0,-,-,5.00,-,0,0,
JG Wright (NZ),1978-1992,149,3,24,8,0,-,-,2.00,-,0,0,
Yasir Ali (BAN),2022-2023,9,1,6,2,0,-,-,2.00,-,0,0,
Yasir Hameed (PAK),2003-2007,56,3,18,26,0,-,-,8.66,-,0,0,
Zakir Hasan (BAN),1997-1997,1,1,12,17,0,-,-,8.50,-,0,0,
Zakir Hossain (BAN),1998-1998,1,1,24,18,0,-,-,4.50,-,0,0,
Zakiullah Zaki (AFG),2012-2012,1,1,24,27,0,-,-,6.75,-,0,0,
Zaman Khan (PAK),2023-2023,1,1,36,39,0,-,-,6.50,-,0,0,
C Zhuwao (ZIM),2008-2018,9,2,19,21,0,-,-,6.63,-,0,0,
Zia-ur-Rehman (AFG),2023-2023,1,1,21,22,0,-,-,6.28,-,0,0,
Aasif Sheikh (NEP),2021-2023,43,-,-,-,-,-,-,-,-,-,-,
Abdullah Shafique (PAK),2022-2023,5,-,-,-,-,-,-,-,-,-,-,
Abdul Jabbar (CAN),2007-2007,2,-,-,-,-,-,-,-,-,-,-,
Abdul Rehman (UAE),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
Abdul Shakoor (UAE),2015-2018,3,-,-,-,-,-,-,-,-,-,-,
Abid Ali (PAK),2019-2020,6,-,-,-,-,-,-,-,-,-,-,
CJ Adams (ENG),1998-2000,5,-,-,-,-,-,-,-,-,-,-,
Adnan Akmal (PAK),2011-2012,5,-,-,-,-,-,-,-,-,-,-,
Adnan Mufti (UAE),2017-2018,18,-,-,-,-,-,-,-,-,-,-,
Afsar Zazai (AFG),2014-2017,17,-,-,-,-,-,-,-,-,-,-,
Aijaz Ali (USA),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
Akhtar Sarfraz (PAK),1997-1998,4,-,-,-,-,-,-,-,-,-,-,
Akshay Homraj (USA),2019-2020,8,-,-,-,-,-,-,-,-,-,-,
Alawi Shukri (UAE),2008-2008,1,-,-,-,-,-,-,-,-,-,-,
RP Alexander (USA),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
FH Allen (NZ),2022-2023,22,-,-,-,-,-,-,-,-,-,-,
MJD Allingham (SCOT),1999-1999,3,-,-,-,-,-,-,-,-,-,-,
Al Sahariar (BAN),1999-2003,29,-,-,-,-,-,-,-,-,-,-,
S Amarnath (IND),1978-1978,3,-,-,-,-,-,-,-,-,-,-,
SW Ambris (WI),2017-2021,16,-,-,-,-,-,-,-,-,-,-,
TR Ambrose (ENG),2008-2008,5,-,-,-,-,-,-,-,-,-,-,
DL Amiss (ENG),1972-1977,18,-,-,-,-,-,-,-,-,-,-,
Amjad Ali (UAE),2008-2015,17,-,-,-,-,-,-,-,-,-,-,
HM Amla (SA),2008-2019,181,-,-,-,-,-,-,-,-,-,-,
Anamul Haque (BAN),2012-2023,45,-,-,-,-,-,-,-,-,-,-,
RW Anderson (NZ),1976-1978,2,-,-,-,-,-,-,-,-,-,-,
Anil Dalpat (PAK),1984-1986,15,-,-,-,-,-,-,-,-,-,-,
Ankur Vasishta (HKG),2014-2014,4,-,-,-,-,-,-,-,-,-,-,
ZS Ansari (ENG),2015-2015,1,-,-,-,-,-,-,-,-,-,-,
Ansh Tandon (UAE),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
Anwar Hossain (BAN),2002-2002,1,-,-,-,-,-,-,-,-,-,-,
V Aravind (UAE),2019-2023,55,-,-,-,-,-,-,-,-,-,-,
KJ Arnott (ZIM),1987-1993,13,-,-,-,-,-,-,-,-,-,-,
Arshad Pervez (PAK),1978-1978,2,-,-,-,-,-,-,-,-,-,-,
J Arun Lal (IND),1982-1989,13,-,-,-,-,-,-,-,-,-,-,
Asghar Ali (UAE),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
Ashraf Ali (PAK),1980-1985,16,-,-,-,-,-,-,-,-,-,-,
Asif Khan (UAE),2022-2023,30,-,-,-,-,-,-,-,-,-,-,
Asif Mahmood (PAK),1998-1998,2,-,-,-,-,-,-,-,-,-,-,
MA Atherton (ENG),1990-1998,54,-,-,-,-,-,-,-,-,-,-,
Atiq-uz-Zaman (PAK),2000-2000,3,-,-,-,-,-,-,-,-,-,-,
JJ Atkinson (HKG),2008-2017,9,-,-,-,-,-,-,-,-,-,-,
Azam Khan (PAK),1996-1998,6,-,-,-,-,-,-,-,-,-,-,
Azmat Rana (PAK),1978-1978,2,-,-,-,-,-,-,-,-,-,-,
SJ Baard (NAM),2019-2022,19,-,-,-,-,-,-,-,-,-,-,
Babar Azam (PAK),2015-2023,110,-,-,-,-,-,-,-,-,-,-,
SFAF Bacchus (WI),1978-1983,29,-,-,-,-,-,-,-,-,-,-,
S Badrinath (IND),2008-2011,7,-,-,-,-,-,-,-,-,-,-,
A Bagai (CAN),2003-2013,62,-,-,-,-,-,-,-,-,-,-,
GJ Bailey (AUS),2012-2016,90,-,-,-,-,-,-,-,-,-,-,
MD Bailey (NZ),1998-1998,1,-,-,-,-,-,-,-,-,-,-,
DL Bairstow (ENG),1979-1984,21,-,-,-,-,-,-,-,-,-,-,
JM Bairstow (ENG),2011-2023,100,-,-,-,-,-,-,-,-,-,-,
S Baksh (CAN),1979-1979,1,-,-,-,-,-,-,-,-,-,-,
GS Ballance (ENG/ZIM),2013-2023,21,-,-,-,-,-,-,-,-,-,-,
T Banton (ENG),2020-2020,6,-,-,-,-,-,-,-,-,-,-,
AB Barath (WI),2010-2012,14,-,-,-,-,-,-,-,-,-,-,
GD Barlow (ENG),1976-1977,6,-,-,-,-,-,-,-,-,-,-,
GEF Barnett (CAN),2006-2010,22,-,-,-,-,-,-,-,-,-,-,
KJ Barnett (ENG),1988-1988,1,-,-,-,-,-,-,-,-,-,-,
DM Basden (BER),2007-2007,2,-,-,-,-,-,-,-,-,-,-,
IPP Batuwitarachchi (UAE),2008-2008,2,-,-,-,-,-,-,-,-,-,-,
D Bau (PNG),2016-2022,14,-,-,-,-,-,-,-,-,-,-,
CS Baugh (WI),2003-2012,47,-,-,-,-,-,-,-,-,-,-,
AC Bedade (IND),1994-1994,13,-,-,-,-,-,-,-,-,-,-,
MD Bell (NZ),1998-2001,7,-,-,-,-,-,-,-,-,-,-,
MR Benson (ENG),1986-1986,1,-,-,-,-,-,-,-,-,-,-,
AR Berenger (UAE),2014-2015,10,-,-,-,-,-,-,-,-,-,-,
B Bhandari (NEP),2019-2022,17,-,-,-,-,-,-,-,-,-,-,
M Bhanuka (SL),2019-2021,6,-,-,-,-,-,-,-,-,-,-,
RA Bhatti (CAN),2011-2011,1,-,-,-,-,-,-,-,-,-,-,
IS Billcliff (CAN),2003-2009,19,-,-,-,-,-,-,-,-,-,-,
SW Billings (ENG),2015-2022,28,-,-,-,-,-,-,-,-,-,-,
GA Bishop (AUS),1987-1987,2,-,-,-,-,-,-,-,-,-,-,
TE Blain (NZ),1986-1994,38,-,-,-,-,-,-,-,-,-,-,
G Blakeney (BER),2009-2009,2,-,-,-,-,-,-,-,-,-,-,
RJ Blakey (ENG),1992-1993,3,-,-,-,-,-,-,-,-,-,-,
TA Blundell (NZ),2020-2023,9,-,-,-,-,-,-,-,-,-,-,
LE Bosman (Afr/SA),2006-2010,14,-,-,-,-,-,-,-,-,-,-,
MV Boucher (Afr/SA),1998-2011,295,-,-,-,-,-,-,-,-,-,-,
CJ Bowes (NZ),2023-2023,6,-,-,-,-,-,-,-,-,-,-,
DM Bravo (WI),2009-2022,122,-,-,-,-,-,-,-,-,-,-,
JP Bray (IRE),2006-2007,15,-,-,-,-,-,-,-,-,-,-,
JM Brearley (ENG),1977-1980,25,-,-,-,-,-,-,-,-,-,-,
GA Briant (ZIM),1993-1993,5,-,-,-,-,-,-,-,-,-,-,
HC Brook (ENG),2023-2023,8,-,-,-,-,-,-,-,-,-,-,
SSJ Brooks (WI),2022-2023,29,-,-,-,-,-,-,-,-,-,-,
NT Broom (NZ),2009-2017,39,-,-,-,-,-,-,-,-,-,-,
RD Brown (ZIM),1983-1987,7,-,-,-,-,-,-,-,-,-,-,
CO Browne (WI),1995-2005,46,-,-,-,-,-,-,-,-,-,-,
PA Browne (WI),2008-2008,5,-,-,-,-,-,-,-,-,-,-,
DG Brownlie (NZ),2012-2017,16,-,-,-,-,-,-,-,-,-,-,
GK Bruk-Jackson (ZIM),1993-1993,1,-,-,-,-,-,-,-,-,-,-,
JA Burns (AUS),2015-2015,6,-,-,-,-,-,-,-,-,-,-,
AR Butcher (ENG),1980-1980,1,-,-,-,-,-,-,-,-,-,-,
RO Butcher (ENG),1980-1981,3,-,-,-,-,-,-,-,-,-,-,
JC Buttler (ENG),2012-2023,171,-,-,-,-,-,-,-,-,-,-,
AF Buurman (NED),2007-2011,17,-,-,-,-,-,-,-,-,-,-,
RJ Campbell (AUS),2002-2002,2,-,-,-,-,-,-,-,-,-,-,
AT Carey (AUS),2018-2023,72,-,-,-,-,-,-,-,-,-,-,
SV Carlisle (ZIM),1995-2005,111,-,-,-,-,-,-,-,-,-,-,
C Carter (HKG),2015-2018,11,-,-,-,-,-,-,-,-,-,-,
HWR Cartwright (AUS),2017-2017,2,-,-,-,-,-,-,-,-,-,-,
JJ Celestine (BER),2007-2008,8,-,-,-,-,-,-,-,-,-,-,
RW Chakabva (ZIM),2008-2022,61,-,-,-,-,-,-,-,-,-,-,
LD Chandimal (SL),2010-2022,157,-,-,-,-,-,-,-,-,-,-,
VB Chandrasekhar (IND),1988-1990,7,-,-,-,-,-,-,-,-,-,-,
MS Chapman (HKG/NZ),2015-2023,14,-,-,-,-,-,-,-,-,-,-,
CJD Chappell (CAN),1979-1979,3,-,-,-,-,-,-,-,-,-,-,
BB Chari (ZIM),2015-2020,14,-,-,-,-,-,-,-,-,-,-,
CPS Chauhan (IND),1978-1981,7,-,-,-,-,-,-,-,-,-,-,
M Cheruparambil (HKG),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
Chirag Suri (UAE),2018-2023,37,-,-,-,-,-,-,-,-,-,-,
DN Chudasama (KENYA),1996-1999,20,-,-,-,-,-,-,-,-,-,-,
DR Chumney (CAN),2003-2007,21,-,-,-,-,-,-,-,-,-,-,
NE Clarke (NED),1996-1996,5,-,-,-,-,-,-,-,-,-,-,
D Cleaver (NZ),2022-2022,1,-,-,-,-,-,-,-,-,-,-,
FRJ Coleman (SCOT),2013-2015,16,-,-,-,-,-,-,-,-,-,-,
PG Coman (NZ),1973-1974,3,-,-,-,-,-,-,-,-,-,-,
M Commins (IRE),2023-2023,2,-,-,-,-,-,-,-,-,-,-,
DP Conway (NZ),2021-2023,24,-,-,-,-,-,-,-,-,-,-,
AN Cook (ENG),2006-2014,92,-,-,-,-,-,-,-,-,-,-,
G Cook (ENG),1981-1983,6,-,-,-,-,-,-,-,-,-,-,
SJ Cook (SA),1991-1993,4,-,-,-,-,-,-,-,-,-,-,
BN Cooper (NED),2013-2021,13,-,-,-,-,-,-,-,-,-,-,
CK Coventry (ZIM),2003-2015,39,-,-,-,-,-,-,-,-,-,-,
MC Cowdrey (ENG),1971-1971,1,-,-,-,-,-,-,-,-,-,-,
RT Crandon (WI),2009-2009,1,-,-,-,-,-,-,-,-,-,-,
JP Crawley (ENG),1994-1999,13,-,-,-,-,-,-,-,-,-,-,
Z Crawley (ENG),2021-2023,5,-,-,-,-,-,-,-,-,-,-,
FS Crockwell (BER),2009-2009,2,-,-,-,-,-,-,-,-,-,-,
NRJ Croes (NED),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
MH Cross (SCOT),2014-2023,90,-,-,-,-,-,-,-,-,-,-,
EC D'Souza (UAE),2023-2023,3,-,-,-,-,-,-,-,-,-,-,
V Dahiya (IND),2000-2001,19,-,-,-,-,-,-,-,-,-,-,
WM Darling (AUS),1978-1982,18,-,-,-,-,-,-,-,-,-,-,
SS Das (IND),2001-2002,4,-,-,-,-,-,-,-,-,-,-,
D Dasgupta (IND),2001-2001,5,-,-,-,-,-,-,-,-,-,-,
PB Dassanayake (SL),1993-1994,16,-,-,-,-,-,-,-,-,-,-,
H Davids (SA),2013-2013,2,-,-,-,-,-,-,-,-,-,-,
AG Davies (SCOT),1999-1999,5,-,-,-,-,-,-,-,-,-,-,
SG Davies (ZIM),1996-1996,4,-,-,-,-,-,-,-,-,-,-,
SM Davies (ENG),2009-2011,8,-,-,-,-,-,-,-,-,-,-,
N Davin (NAM),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
IC Davis (AUS),1974-1977,3,-,-,-,-,-,-,-,-,-,-,
JJ Dawood (CAN),2009-2010,2,-,-,-,-,-,-,-,-,-,-,
J Da Silva (WI),2021-2021,2,-,-,-,-,-,-,-,-,-,-,
RG de Alwis (SL),1983-1988,31,-,-,-,-,-,-,-,-,-,-,
Q de Kock (SA),2013-2023,147,-,-,-,-,-,-,-,-,-,-,
MH Denness (ENG),1973-1975,12,-,-,-,-,-,-,-,-,-,-,
FA Dennis (CAN),1979-1979,3,-,-,-,-,-,-,-,-,-,-,
JH Desai (USA),2004-2004,1,-,-,-,-,-,-,-,-,-,-,
SI de Saram (SL),1999-2001,15,-,-,-,-,-,-,-,-,-,-,
AM de Silva (SL),1986-1993,4,-,-,-,-,-,-,-,-,-,-,
SKL de Silva (SL),1997-1997,11,-,-,-,-,-,-,-,-,-,-,
T de Zorzi (SA),2023-2023,2,-,-,-,-,-,-,-,-,-,-,
S Dhamala (NEP),2022-2022,1,-,-,-,-,-,-,-,-,-,-,
P Dharmani (IND),1996-1996,1,-,-,-,-,-,-,-,-,-,-,
S Dhawan (IND),2010-2022,167,-,-,-,-,-,-,-,-,-,-,
HS Dhillon (CAN),2006-2006,2,-,-,-,-,-,-,-,-,-,-,
Dhiman Ghosh (BAN),2008-2008,14,-,-,-,-,-,-,-,-,-,-,
N Dickwella (SL),2014-2022,55,-,-,-,-,-,-,-,-,-,-,
WP Diepeveen (NED),2011-2011,1,-,-,-,-,-,-,-,-,-,-,
SS Dighe (IND),2000-2001,23,-,-,-,-,-,-,-,-,-,-,
HH Dippenaar (Afr/SA),1999-2007,107,-,-,-,-,-,-,-,-,-,-,
MJ Di Venuto (AUS),1997-1997,9,-,-,-,-,-,-,-,-,-,-,
ST Doheny (IRE),2023-2023,9,-,-,-,-,-,-,-,-,-,-,
K Doriga (PNG),2017-2023,39,-,-,-,-,-,-,-,-,-,-,
CRM Douglas (BER),2008-2008,2,-,-,-,-,-,-,-,-,-,-,
MW Douglas (NZ),1994-1995,6,-,-,-,-,-,-,-,-,-,-,
TM Dowlin (WI),2009-2010,11,-,-,-,-,-,-,-,-,-,-,
PR Downton (ENG),1977-1988,28,-,-,-,-,-,-,-,-,-,-,
SO Dowrich (WI),2019-2019,1,-,-,-,-,-,-,-,-,-,-,
BM Duckett (ENG),2016-2023,8,-,-,-,-,-,-,-,-,-,-,
T Duffin (ZIM),2006-2007,23,-,-,-,-,-,-,-,-,-,-,
PJL Dujon (WI),1981-1991,169,-,-,-,-,-,-,-,-,-,-,
JSE Dunford (JER),2023-2023,5,-,-,-,-,-,-,-,-,-,-,
CI Dunusinghe (SL),1995-1995,1,-,-,-,-,-,-,-,-,-,-,
MD du Preez (NAM),2021-2023,3,-,-,-,-,-,-,-,-,-,-,
GC Dyer (AUS),1986-1988,23,-,-,-,-,-,-,-,-,-,-,
J Dyson (AUS),1980-1983,29,-,-,-,-,-,-,-,-,-,-,
J Edness (BER),2007-2008,11,-,-,-,-,-,-,-,-,-,-,
JH Edrich (ENG),1971-1975,7,-,-,-,-,-,-,-,-,-,-,
KA Edwards (WI),2011-2014,16,-,-,-,-,-,-,-,-,-,-,
R Edwards (AUS),1972-1975,9,-,-,-,-,-,-,-,-,-,-,
SA Edwards (NED),2018-2023,40,-,-,-,-,-,-,-,-,-,-,
MTG Elliott (AUS),1997-1997,1,-,-,-,-,-,-,-,-,-,-,
PA Emery (AUS),1994-1994,1,-,-,-,-,-,-,-,-,-,-,
SA Engelbrecht (NED),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
FM Engineer (IND),1974-1975,5,-,-,-,-,-,-,-,-,-,-,
CR Ervine (ZIM),2010-2023,116,-,-,-,-,-,-,-,-,-,-,
EA Essop-Adam (ZIM),1992-1992,1,-,-,-,-,-,-,-,-,-,-,
Fahad Nawaz (UAE),2019-2019,2,-,-,-,-,-,-,-,-,-,-,
Fahad Usman (UAE),2004-2004,2,-,-,-,-,-,-,-,-,-,-,
Faisal Athar (PAK),2003-2003,1,-,-,-,-,-,-,-,-,-,-,
Faruk Ahmed (BAN),1988-1999,7,-,-,-,-,-,-,-,-,-,-,
FY Fazal (IND),2016-2016,1,-,-,-,-,-,-,-,-,-,-,
CJ Ferguson (AUS),2009-2011,30,-,-,-,-,-,-,-,-,-,-,
N Fernandes (UAE),2008-2008,1,-,-,-,-,-,-,-,-,-,-,
ER Fernando (SL),1975-1975,3,-,-,-,-,-,-,-,-,-,-,
ERNS Fernando (SL),1983-1983,7,-,-,-,-,-,-,-,-,-,-,
UNK Fernando (SL),1994-1994,2,-,-,-,-,-,-,-,-,-,-,
WIA Fernando (SL),2016-2023,29,-,-,-,-,-,-,-,-,-,-,
J Figy (UAE),2019-2020,2,-,-,-,-,-,-,-,-,-,-,
SE Findlay (WI),2008-2009,9,-,-,-,-,-,-,-,-,-,-,
R Flannigan (SCOT),2010-2010,1,-,-,-,-,-,-,-,-,-,-,
KWR Fletcher (ENG),1971-1982,24,-,-,-,-,-,-,-,-,-,-,
BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,
PJ Forrest (AUS),2012-2012,15,-,-,-,-,-,-,-,-,-,-,
JS Foster (ENG),2001-2002,11,-,-,-,-,-,-,-,-,-,-,
G Fowler (ENG),1983-1986,26,-,-,-,-,-,-,-,-,-,-,
D Foxcroft (NZ),2023-2023,1,-,-,-,-,-,-,-,-,-,-,
TJ Franklin (NZ),1983-1988,3,-,-,-,-,-,-,-,-,-,-,
BN French (ENG),1985-1988,13,-,-,-,-,-,-,-,-,-,-,
PG Fulton (NZ),2004-2009,49,-,-,-,-,-,-,-,-,-,-,
RS Gabriel (WI),1984-1984,11,-,-,-,-,-,-,-,-,-,-,
RD Gaikwad (IND),2022-2023,4,-,-,-,-,-,-,-,-,-,-,
DJ Gandhi (IND),1999-2000,3,-,-,-,-,-,-,-,-,-,-,
HJW Gardiner (SCOT),2013-2015,11,-,-,-,-,-,-,-,-,-,-,
LV Garrick (WI),2001-2001,3,-,-,-,-,-,-,-,-,-,-,
LK Germon (NZ),1994-1997,37,-,-,-,-,-,-,-,-,-,-,
Ghulam Ali (PAK),1993-1995,3,-,-,-,-,-,-,-,-,-,-,
Ghulam Shabber (UAE),2017-2019,23,-,-,-,-,-,-,-,-,-,-,
T Gibbons (BER),2006-2006,2,-,-,-,-,-,-,-,-,-,-,
HH Gibbs (SA),1996-2010,248,-,-,-,-,-,-,-,-,-,-,
AC Gilchrist (AUS/ICC),1996-2008,287,-,-,-,-,-,-,-,-,-,-,
PG Gillespie (IRE),2006-2007,5,-,-,-,-,-,-,-,-,-,-,
DM Gondaria (KENYA),2013-2013,2,-,-,-,-,-,-,-,-,-,-,
HM Goonatilleke (SL),1982-1982,6,-,-,-,-,-,-,-,-,-,-,
BHG Gorlee (NED),2022-2022,3,-,-,-,-,-,-,-,-,-,-,
